Date,Description,Amount,Balance
2025-11-25,Freelance Invoice,950.00,37313.19
2025-11-28,Water Bill,-35.00,37278.19
2025-12-01,Salary Deposit,4500.00,41778.19
2025-12-02,Apartment Rent,-1200.00,40578.19
2025-12-04,Grocery Store,-110.25,40467.94
2025-12-06,Netflix Subscription,-15.99,40451.95
2025-12-08,Gas Station,-49.90,40402.05
2025-12-10,Electric Bill,-105.00,40297.05
2025-12-12,Christmas Gifts,-350.00,39947.05
2025-12-14,Holiday Dinner,-85.00,39862.05
2025-12-16,Gym Membership,-49.99,39812.06
2025-12-18,Phone Bill,-65.00,39747.06
2025-12-20,Spotify Premium,-9.99,39737.07
2025-12-22,Uber Ride,-25.00,39712.07
2025-12-25,Year-End Bonus,2000.00,41712.07
2025-12-28,Freelance Invoice,600.00,42312.07
2026-01-01,Salary Deposit,4500.00,46812.07
2026-01-02,Apartment Rent,-1200.00,45612.07
2026-01-04,Walmart Grocery,-93.15,45518.92
2026-01-06,Gas Station,-52.00,45466.92
2026-01-08,Internet Bill,-79.99,45386.93
2026-01-10,Water Bill,-35.00,45351.93
2026-01-12,New Year Shopping,-78.50,45273.43
2026-01-14,Coffee Shop,-12.30,45261.13
2026-01-16,Gym Membership,-49.99,45211.14
2026-01-18,Netflix Subscription,-15.99,45195.15
2026-01-20,Phone Bill,-65.00,45130.15
2026-01-22,Uber Ride,-19.50,45110.65
2026-01-25,Freelance Invoice,800.00,45910.65
2026-01-28,Electric Bill,-88.00,45822.65
2026-02-01,Salary Deposit,4500.00,50322.65
2026-02-02,Apartment Rent,-1200.00,49122.65
2026-02-04,Costco Grocery,-98.40,49024.25
2026-02-06,Gas Station,-46.70,48977.55
2026-02-08,Valentine's Dinner,-120.00,48857.55
2026-02-10,Spotify Premium,-9.99,48847.56
2026-02-12,Doctor Visit,-60.00,48787.56
2026-02-14,Amazon Purchase,-45.99,48741.57
2026-02-16,Internet Bill,-79.99,48661.58
2026-02-18,Gym Membership,-49.99,48611.59
2026-02-20,Phone Bill,-65.00,48546.59
2026-02-22,Dividend Payment,61.20,48607.79
2026-02-25,Freelance Invoice,900.00,49507.79
2026-02-28,Electric Bill,-92.00,49415.79
2026-03-01,Salary Deposit,4500.00,53915.79
2026-03-02,Apartment Rent,-1200.00,52715.79
2026-03-04,Grocery Store,-105.50,52610.29
2026-03-06,Gas Station,-55.30,52554.99
2026-03-08,Water Bill,-35.00,52519.99
2026-03-10,Netflix Subscription,-15.99,52503.00
